iter	Passed	Remaining
0	91	18232
1	115	11444
2	138	9083
3	162	7968
4	184	7196
5	207	6714
6	230	6349
7	253	6076
8	275	5848
9	297	5661
10	321	5529
11	343	5386
12	364	5248
13	386	5137
14	406	5011
15	425	4897
16	446	4801
17	468	4741
18	490	4667
19	508	4578
20	530	4517
21	555	4495
22	577	4442
23	595	4366
24	615	4307
25	637	4263
26	660	4234
27	685	4212
28	707	4171
29	730	4138
30	755	4117
31	777	4082
32	806	4080
33	825	4032
34	845	3984
35	866	3947
36	887	3910
37	908	3872
38	930	3842
39	949	3796
40	968	3757
41	992	3732
42	1012	3695
43	1032	3660
44	1050	3620
45	1069	3582
46	1089	3545
47	1105	3502
48	1126	3470
49	1143	3431
50	1167	3410
51	1190	3389
52	1214	3367
53	1232	3331
54	1252	3301
55	1271	3269
56	1290	3237
57	1310	3207
58	1328	3175
59	1349	3149
60	1369	3121
61	1387	3089
62	1407	3061
63	1427	3033
64	1445	3002
65	1467	2980
66	1487	2952
67	1508	2927
68	1529	2903
69	1549	2876
70	1569	2851
71	1589	2826
72	1610	2801
73	1631	2777
74	1652	2754
75	1677	2736
76	1697	2711
77	1716	2684
78	1734	2657
79	1754	2631
80	1772	2604
81	1793	2581
82	1811	2554
83	1832	2530
84	1851	2504
85	1871	2480
86	1891	2456
87	1911	2432
88	1930	2407
89	1948	2381
90	1967	2356
91	1985	2330
92	2008	2310
93	2027	2286
94	2050	2266
95	2076	2250
96	2098	2227
97	2121	2207
98	2140	2184
99	2159	2159
100	2179	2136
101	2200	2114
102	2219	2090
103	2240	2068
104	2262	2047
105	2280	2022
106	2298	1997
107	2316	1973
108	2333	1948
109	2351	1923
110	2369	1900
111	2393	1880
112	2412	1857
113	2431	1833
114	2451	1812
115	2472	1790
116	2491	1767
117	2512	1746
118	2531	1723
119	2551	1700
120	2569	1677
121	2589	1655
122	2610	1634
123	2629	1611
124	2654	1592
125	2675	1571
126	2701	1552
127	2725	1533
128	2746	1511
129	2764	1488
130	2784	1466
131	2803	1444
132	2822	1421
133	2841	1399
134	2859	1376
135	2879	1355
136	2900	1333
137	2917	1310
138	2938	1289
139	2961	1269
140	2982	1247
141	3003	1226
142	3024	1205
143	3045	1184
144	3064	1162
145	3085	1141
146	3108	1120
147	3129	1099
148	3152	1079
149	3171	1057
150	3192	1036
151	3210	1013
152	3230	992
153	3247	970
154	3267	948
155	3290	928
156	3316	908
157	3406	905
158	3426	883
159	3446	861
160	3464	839
161	3483	817
162	3503	795
163	3524	773
164	3545	752
165	3564	730
166	3583	708
167	3605	686
168	3627	665
169	3649	644
170	3671	622
171	3691	600
172	3710	579
173	3729	557
174	3750	535
175	3770	514
176	3789	492
177	3812	471
178	3834	449
179	3853	428
180	3872	406
181	3891	384
182	3911	363
183	3930	341
184	3948	320
185	3966	298
186	3987	277
187	4008	255
188	4028	234
189	4049	213
190	4070	191
191	4090	170
192	4109	149
193	4130	127
194	4149	106
195	4168	85
196	4188	63
197	4211	42
198	4233	21
199	4254	0
